pages_viewed,time_spent_sec,previous_visits,products_viewed,added_to_cart,device_type,previous_purchases,purchase
6,290.1,2,9,0,desktop,0,1
5,150.6,2,2,1,mobile,0,0
4,243.4,3,3,0,mobile,0,0
9,181.0,2,0,0,desktop,1,1
3,124.0,0,2,0,mobile,0,0
2,315.6,5,6,0,mobile,0,1
5,114.5,6,4,1,mobile,0,0
6,89.4,2,1,0,mobile,1,0
5,181.1,4,1,1,mobile,1,0
4,192.5,7,2,1,tablet,1,1
5,137.0,0,6,0,mobile,4,0
9,63.1,3,0,0,mobile,1,0
3,180.6,1,3,0,mobile,1,0
3,62.1,1,1,0,tablet,2,0
3,101.8,2,2,0,mobile,3,0
8,46.2,3,2,0,mobile,1,0
7,48.9,1,4,0,mobile,2,0
8,87.4,2,4,0,mobile,1,0
7,126.8,1,3,0,desktop,1,0
8,307.9,2,1,0,desktop,1,1
7,57.8,0,1,1,desktop,0,0
5,104.6,2,1,0,tablet,1,0
3,91.0,0,1,0,mobile,0,0
4,130.4,5,7,0,desktop,1,0
5,77.6,3,2,0,mobile,0,0
8,152.6,3,0,0,desktop,2,0
5,43.6,1,1,0,tablet,2,0
4,97.9,2,3,0,tablet,4,0
3,125.4,3,2,0,desktop,0,0
7,200.1,1,4,0,tablet,2,1
4,154.6,1,5,0,desktop,1,1
6,96.2,1,0,1,tablet,2,0
10,48.9,0,5,0,desktop,0,0
7,333.0,3,3,1,mobile,0,1
7,54.9,1,1,0,mobile,2,0
10,32.9,1,4,1,mobile,1,1
5,59.8,3,1,0,mobile,1,0
10,26.9,1,7,0,mobile,0,0
3,124.4,1,4,0,mobile,1,1
11,95.7,0,2,0,mobile,4,0
7,81.2,3,2,1,mobile,1,0
10,88.9,0,3,0,mobile,0,0
5,62.9,2,2,0,tablet,3,0
2,14.2,2,1,0,desktop,0,0
7,181.4,4,6,0,tablet,1,0
9,67.8,3,4,0,desktop,0,0
7,28.0,2,4,0,desktop,0,0
3,18.8,5,2,0,desktop,0,0
4,227.2,1,3,0,mobile,0,0
6,73.8,4,3,0,mobile,2,0
4,72.4,3,3,0,desktop,0,0
4,134.7,1,2,0,mobile,0,0
6,63.2,2,3,0,mobile,0,1
7,26.3,1,5,1,mobile,1,0
6,58.1,3,4,1,mobile,0,1
4,114.5,3,4,0,mobile,1,0
6,57.7,1,1,0,desktop,4,0
4,47.1,3,0,1,desktop,0,0
4,37.5,3,1,0,mobile,0,0
7,126.4,4,1,1,mobile,3,1
6,112.2,3,4,0,mobile,0,0
7,138.2,4,3,1,mobile,0,1
3,81.5,2,6,0,mobile,0,0
5,67.1,1,3,0,desktop,0,0
8,49.2,1,3,0,desktop,1,0
7,74.3,2,5,0,mobile,4,0
6,20.1,0,3,1,desktop,1,0
5,118.4,1,3,0,mobile,1,0
4,68.9,3,2,0,tablet,2,0
4,196.2,1,6,1,desktop,0,1
8,91.6,1,1,0,desktop,0,0
8,13.8,2,4,0,desktop,0,0
7,107.6,3,4,0,mobile,1,0
7,338.8,0,3,0,desktop,0,1
8,126.1,1,4,0,desktop,1,0
9,163.6,3,0,0,desktop,0,0
7,210.4,0,5,1,desktop,0,1
4,45.5,6,1,0,mobile,0,0
8,84.2,2,6,0,desktop,0,0
6,47.6,1,4,0,desktop,1,0
6,150.4,0,5,0,mobile,0,0
8,48.1,1,0,0,mobile,1,0
5,81.0,3,1,0,mobile,1,0
10,159.3,1,2,1,mobile,0,0
5,149.2,3,2,1,mobile,0,0
6,106.1,0,6,0,tablet,1,1
3,212.0,3,4,0,desktop,4,0
7,158.7,2,1,0,desktop,1,0
4,58.3,1,1,0,tablet,0,0
7,27.2,1,1,0,desktop,1,0
3,43.5,6,3,0,mobile,2,0
4,165.8,8,3,0,mobile,0,1
6,125.0,5,2,0,mobile,1,0
4,213.5,0,4,0,mobile,0,0
5,134.5,1,2,1,desktop,1,1
6,161.3,1,1,0,desktop,1,0
7,117.2,1,2,1,mobile,2,0
4,56.5,2,2,1,mobile,1,0
4,54.3,2,2,1,mobile,0,0
5,43.9,0,4,1,mobile,3,0
6,56.6,1,1,1,mobile,2,0
5,217.2,2,2,0,tablet,0,1
3,147.3,0,1,0,mobile,1,0
7,82.5,2,1,0,tablet,0,0
7,127.8,2,2,0,desktop,1,0
9,126.4,0,1,0,desktop,0,0
2,229.8,2,2,1,desktop,2,1
7,76.3,2,6,0,mobile,0,1
3,112.3,0,4,1,desktop,1,1
6,162.1,4,2,1,mobile,1,1
3,56.0,2,6,0,tablet,1,1
7,242.8,0,3,0,desktop,2,1
5,156.8,1,2,1,tablet,0,0
4,43.6,2,5,0,tablet,2,0
6,297.6,0,2,0,mobile,0,1
7,212.3,4,2,0,tablet,0,1
4,143.4,3,3,0,mobile,0,0
5,16.0,1,5,1,desktop,0,0
9,64.6,0,1,0,desktop,1,0
5,106.7,4,5,0,mobile,1,0
11,112.7,0,1,0,mobile,3,1
5,100.6,2,5,0,desktop,1,1
6,33.2,1,3,0,mobile,1,0
11,79.2,0,2,0,mobile,1,0
4,85.4,3,4,0,mobile,0,0
5,12.6,2,4,0,desktop,0,0
8,142.7,0,3,1,desktop,1,0
6,260.8,2,2,1,mobile,2,1
11,90.0,1,7,1,desktop,1,0
5,144.5,6,4,0,desktop,1,0
3,44.4,0,2,0,mobile,2,0
4,122.6,5,4,1,desktop,0,0
6,124.1,1,1,0,mobile,3,0
9,196.7,1,4,0,tablet,2,0
5,222.5,2,0,1,desktop,2,1
4,143.2,4,0,1,desktop,0,1
9,57.6,4,2,0,mobile,0,0
7,55.9,1,6,0,desktop,0,0
9,221.0,2,3,0,mobile,2,0
4,36.2,3,2,1,mobile,2,0
4,64.2,1,6,0,desktop,1,0
6,135.9,2,4,1,desktop,1,1
12,255.3,2,3,1,mobile,0,0
8,269.0,3,5,0,mobile,0,1
5,8.7,2,2,1,mobile,1,0
4,119.7,2,2,0,mobile,1,0
9,94.6,5,3,0,mobile,0,0
9,49.7,3,2,0,desktop,2,1
4,7.8,2,4,0,mobile,0,0
4,94.1,3,4,0,mobile,2,0
7,35.5,1,1,0,desktop,3,0
3,132.4,2,2,0,tablet,2,0
8,100.7,5,7,0,tablet,0,0
6,16.3,3,4,0,desktop,0,0
6,82.7,2,1,0,mobile,1,1
7,26.5,0,3,0,mobile,0,0
2,115.8,4,4,1,desktop,2,1
11,152.8,1,6,0,mobile,0,0
3,71.3,0,6,0,mobile,3,0
6,213.8,4,1,1,tablet,3,1
5,117.3,0,6,0,mobile,1,0
6,98.6,3,2,0,desktop,1,1
5,99.9,2,2,0,mobile,1,0
6,82.6,2,3,0,mobile,2,0
7,80.3,2,2,0,desktop,0,0
2,34.5,0,3,0,mobile,0,0
4,245.1,4,3,0,tablet,0,1
3,81.8,1,3,0,mobile,2,1
6,269.0,2,2,1,desktop,2,1
5,150.9,2,5,0,desktop,1,0
8,87.8,1,4,0,desktop,0,0
8,106.7,2,0,0,desktop,0,0
3,152.8,3,2,0,mobile,0,1
7,183.7,1,3,0,desktop,1,1
8,97.4,1,2,1,desktop,0,0
3,173.1,5,4,1,desktop,1,1
8,149.1,1,4,0,mobile,3,1
6,153.7,3,1,1,mobile,0,0
8,173.5,1,2,0,desktop,1,0
7,61.8,1,4,0,mobile,2,0
6,227.5,1,5,0,mobile,2,1
7,125.2,0,4,0,mobile,3,0
6,183.4,4,2,1,mobile,0,1
5,97.2,2,3,0,desktop,1,0
8,114.7,0,2,0,desktop,1,0
2,61.6,3,2,1,mobile,0,1
9,40.5,2,3,0,mobile,1,0
5,85.3,1,4,0,mobile,0,0
6,157.4,0,1,1,desktop,1,1
4,63.1,2,2,0,desktop,0,0
8,23.2,0,1,0,mobile,0,0
3,203.1,2,2,0,mobile,2,0
6,35.9,1,2,0,mobile,1,0
11,122.5,3,5,1,desktop,0,1
8,290.2,0,5,1,mobile,0,1
8,568.2,5,4,0,mobile,0,1
11,88.4,1,5,0,mobile,2,1
2,205.1,1,4,1,mobile,0,0
6,123.7,3,4,0,tablet,0,0
4,45.7,4,0,1,desktop,1,1
9,83.0,3,1,0,desktop,1,0
8,67.5,3,2,0,mobile,0,0
4,200.0,2,3,1,mobile,0,1
2,282.7,2,2,0,desktop,2,1
6,73.8,2,9,1,mobile,0,0
4,24.0,5,2,0,mobile,1,0
7,111.9,1,3,0,mobile,1,0
4,48.4,1,6,1,mobile,2,0
5,39.6,1,7,0,mobile,2,0
6,57.8,0,3,1,desktop,0,0
9,54.3,0,4,0,mobile,1,0
8,132.0,0,5,0,tablet,0,1
6,153.4,3,1,1,mobile,1,1
5,121.5,1,1,0,mobile,4,0
7,48.2,2,3,0,desktop,1,0
9,49.3,0,1,1,mobile,0,0
5,93.9,1,3,1,mobile,0,0
4,77.0,1,3,1,mobile,1,0
3,101.0,5,3,0,mobile,2,1
4,129.0,1,1,1,desktop,0,0
10,93.1,4,4,1,mobile,1,1
6,145.3,1,3,0,mobile,0,0
5,114.8,1,2,1,mobile,1,1
8,150.0,2,0,0,mobile,3,1
9,37.5,1,2,0,desktop,0,0
5,20.5,1,2,0,tablet,2,0
5,46.8,4,3,0,desktop,1,0
9,191.0,3,1,0,mobile,2,1
6,115.4,2,2,0,tablet,0,0
6,62.1,3,4,0,desktop,2,0
7,55.1,2,2,0,desktop,0,0
8,156.2,2,2,0,desktop,1,0
3,117.3,2,5,0,desktop,3,0
2,32.3,0,3,1,desktop,0,0
8,32.1,2,4,0,mobile,1,0
6,146.7,1,1,1,mobile,1,0
5,60.3,1,7,0,desktop,1,0
5,25.2,5,4,0,mobile,0,0
4,24.8,4,1,0,mobile,0,0
9,132.1,1,6,1,mobile,0,0
8,62.8,3,4,1,mobile,0,0
2,164.3,1,3,0,desktop,1,0
3,103.3,5,4,0,desktop,0,1
5,71.5,2,4,0,desktop,2,0
7,98.8,2,5,0,mobile,2,0
5,308.2,5,3,1,mobile,1,1
7,44.4,1,2,1,mobile,1,0
9,211.2,2,3,1,mobile,0,1
8,147.9,5,4,0,desktop,2,1
6,65.3,0,2,0,desktop,0,0
3,147.8,0,7,1,mobile,1,1
2,112.2,0,2,0,mobile,2,0
8,91.8,1,4,0,desktop,0,0
5,76.5,5,3,0,mobile,0,0
2,184.0,3,0,0,mobile,0,0
7,101.2,10,4,1,desktop,2,1
6,47.3,2,2,1,tablet,1,0
9,96.3,2,2,0,mobile,0,0
6,26.3,5,1,0,mobile,2,1
5,60.6,3,2,0,mobile,1,0
11,144.6,2,3,0,desktop,1,0
8,42.4,1,1,0,mobile,3,0
5,381.0,2,1,0,mobile,1,1
9,11.7,6,4,0,desktop,1,1
6,75.3,1,3,0,desktop,1,0
6,154.5,3,4,1,mobile,0,1
6,27.4,3,2,1,desktop,0,0
3,156.3,4,2,0,tablet,1,0
4,149.2,4,4,0,mobile,0,0
5,79.5,3,1,0,desktop,1,0
10,48.6,2,4,0,mobile,2,0
1,100.3,4,3,1,mobile,2,0
6,144.9,3,3,0,mobile,0,0
6,51.9,1,1,0,desktop,2,0
6,91.1,2,3,0,desktop,1,0
6,28.7,0,2,0,mobile,0,0
5,171.5,1,2,0,tablet,0,0
10,276.3,2,4,0,desktop,1,1
7,69.3,2,4,0,mobile,1,0
3,57.0,3,4,0,desktop,0,0
7,195.6,1,3,0,mobile,1,1
7,193.2,3,4,0,mobile,2,0
7,159.3,2,6,0,mobile,1,1
6,36.2,1,2,0,mobile,1,0
3,5.2,3,2,1,tablet,0,0
6,88.1,1,4,0,mobile,3,0
4,132.3,1,4,0,mobile,2,1
4,69.6,1,1,0,desktop,0,0
4,190.7,1,1,0,desktop,1,0
7,59.0,0,3,0,mobile,3,0
7,21.2,2,2,1,desktop,1,1
5,69.4,1,8,0,mobile,0,0
6,124.3,2,3,0,mobile,3,0
6,41.8,5,3,1,mobile,0,0
8,115.7,4,3,1,mobile,0,0
6,87.7,2,2,0,desktop,1,0
4,272.4,2,5,1,desktop,1,1
5,175.4,5,2,0,desktop,3,0
8,404.9,0,3,0,mobile,1,1
6,34.1,0,7,0,mobile,0,0
8,216.9,2,4,0,desktop,0,1
9,14.3,1,2,1,mobile,0,0
8,185.3,0,1,0,mobile,1,0
6,20.1,3,1,0,mobile,2,0
9,154.8,3,4,0,mobile,1,0
5,116.7,2,1,1,mobile,0,0
7,126.0,1,1,0,mobile,0,0
9,12.0,2,5,0,mobile,0,0
7,147.4,4,5,1,desktop,1,1
4,21.0,3,3,1,mobile,1,0
9,273.0,2,3,0,mobile,2,1
5,56.2,2,2,0,mobile,0,0
8,73.7,3,6,0,mobile,0,0
3,214.9,3,5,0,desktop,0,0
11,102.7,2,1,0,mobile,0,0
7,104.0,3,3,0,desktop,0,1
5,136.8,1,4,0,desktop,0,0
6,44.3,2,3,0,desktop,0,0
7,55.6,5,3,1,desktop,2,1
5,106.4,2,3,0,desktop,1,0
6,285.7,0,0,0,desktop,1,1
7,164.2,5,3,1,desktop,1,1
4,171.6,2,1,0,mobile,0,0
8,228.0,3,0,0,desktop,2,0
8,191.2,2,4,0,desktop,0,1
9,158.9,1,4,0,mobile,1,0
5,87.0,2,3,0,desktop,1,0
8,41.2,2,2,0,desktop,0,0
4,46.4,5,3,0,mobile,0,0
5,203.8,0,1,1,mobile,0,0
5,144.8,2,1,0,mobile,2,1
1,4.5,3,3,0,desktop,1,0
2,100.8,1,3,0,mobile,2,0
2,9.7,2,3,0,desktop,2,0
8,86.7,2,0,0,mobile,3,1
6,194.5,5,3,1,mobile,0,1
6,144.6,2,3,0,desktop,2,1
9,74.7,1,1,0,mobile,2,0
4,112.2,2,2,1,desktop,1,1
6,56.5,3,3,0,tablet,0,0
4,31.3,2,0,0,mobile,0,0
6,53.1,5,2,1,tablet,2,1
2,181.6,4,5,0,desktop,1,0
8,220.3,2,2,0,mobile,0,0
3,188.2,0,5,1,mobile,2,0
5,173.9,1,1,0,desktop,0,0
7,38.2,0,5,0,desktop,0,0
8,80.1,3,2,1,mobile,0,1
10,86.6,0,2,0,mobile,0,0
5,66.4,3,4,1,desktop,0,0
2,41.6,1,1,1,mobile,0,0
5,116.4,4,2,0,mobile,1,0
7,113.2,2,3,0,desktop,2,0
4,78.2,2,6,0,desktop,1,0
5,255.0,2,4,0,mobile,0,0
3,69.2,0,2,0,desktop,3,0
7,91.1,1,1,0,mobile,0,0
9,26.9,2,3,0,desktop,1,0
8,160.3,3,2,0,mobile,0,0
3,215.1,2,4,0,desktop,1,1
7,23.4,1,3,1,desktop,0,0
10,137.2,1,4,0,mobile,3,0
4,74.7,1,6,0,desktop,0,0
9,166.8,0,0,0,desktop,1,0
8,118.8,2,4,1,desktop,1,1
7,119.0,3,4,0,desktop,1,0
11,113.0,0,6,1,tablet,0,1
6,298.1,1,3,1,desktop,1,1
6,31.6,1,5,0,mobile,2,0
6,9.9,2,4,0,desktop,2,0
6,161.7,6,2,0,tablet,0,0
5,38.5,3,5,0,mobile,3,0
11,169.6,2,3,0,mobile,0,0
4,156.7,3,2,0,tablet,1,0
3,52.1,1,2,1,desktop,0,0
7,464.1,3,4,0,mobile,1,1
5,242.7,1,2,0,desktop,0,1
5,93.3,1,4,0,mobile,1,0
9,114.8,2,4,0,mobile,0,0
6,207.3,0,0,0,mobile,0,0
5,34.0,0,3,0,mobile,1,0
8,137.8,2,7,0,mobile,0,0
5,91.9,1,2,1,mobile,0,0
3,248.2,3,5,1,desktop,2,1
3,17.6,1,5,0,desktop,0,0
4,120.7,1,2,0,mobile,1,1
4,33.9,2,4,0,mobile,0,0
9,139.2,3,5,0,tablet,0,0
7,103.1,2,4,0,desktop,1,0
1,111.7,2,5,0,mobile,0,0
9,176.3,0,4,0,mobile,1,0
6,148.9,0,1,0,mobile,0,0
5,57.3,1,1,0,desktop,3,0
6,12.4,4,4,0,mobile,0,0
8,20.0,3,6,1,tablet,1,1
7,59.5,5,4,0,tablet,1,0
4,113.5,0,1,0,mobile,0,0
5,96.1,0,1,1,tablet,0,0
3,116.2,0,2,0,tablet,1,0
5,212.3,0,2,0,desktop,1,0
2,62.2,1,0,0,mobile,1,0
10,168.4,1,3,0,mobile,2,0
4,110.3,1,3,1,mobile,0,0
2,226.5,4,2,0,mobile,0,1
6,119.4,3,3,1,desktop,1,1
5,277.7,2,2,0,tablet,0,0
7,158.3,1,4,1,desktop,4,1
6,196.5,0,1,1,desktop,2,1
9,60.0,0,4,0,mobile,0,0
6,223.4,4,1,1,desktop,2,1
8,280.8,1,0,0,desktop,0,1
5,145.9,2,2,0,mobile,1,1
2,80.9,4,1,0,desktop,0,0
6,200.6,1,3,1,mobile,1,1
5,167.1,1,2,0,mobile,3,1
4,335.7,0,3,1,desktop,0,1
3,142.4,1,2,0,mobile,2,0
13,92.7,1,0,1,desktop,0,0
6,109.1,2,1,0,desktop,1,0
11,50.6,3,4,0,mobile,1,0
7,79.0,2,1,1,tablet,2,1
2,16.2,1,0,0,desktop,1,0
7,89.9,2,0,0,desktop,1,0
3,203.5,4,2,1,desktop,0,0
5,358.1,1,2,1,mobile,1,1
6,75.6,2,5,0,tablet,0,0
9,153.6,2,1,0,tablet,0,0
5,92.6,1,3,0,mobile,3,1
3,74.4,3,2,0,mobile,2,0
2,40.1,3,4,1,tablet,1,0
9,263.3,1,5,0,mobile,0,1
9,23.1,6,5,0,desktop,0,0
5,135.6,0,0,0,mobile,0,0
2,29.2,4,1,0,desktop,2,0
10,63.9,1,2,0,desktop,0,0
5,254.1,1,5,0,tablet,2,1
3,38.9,2,3,1,desktop,0,0
5,126.5,3,1,0,mobile,2,0
4,223.9,2,4,0,mobile,1,0
9,132.6,3,3,1,mobile,0,0
10,137.1,2,4,0,desktop,1,1
5,131.2,1,2,0,mobile,2,0
5,193.6,1,1,0,mobile,1,0
6,219.7,1,3,0,desktop,1,1
12,120.8,3,6,0,mobile,0,0
9,106.8,6,2,0,desktop,3,0
7,27.7,2,5,0,mobile,3,0
3,51.7,1,1,0,mobile,0,0
9,129.2,3,4,1,desktop,1,1
8,17.5,1,3,0,desktop,3,0
7,47.4,5,2,1,desktop,2,1
6,76.6,1,5,0,mobile,2,0
4,34.9,2,2,0,desktop,1,0
6,48.7,3,2,0,desktop,1,0
4,136.7,0,4,0,mobile,1,0
4,91.5,4,5,0,mobile,1,0
8,163.2,2,1,0,desktop,1,0
5,73.6,3,0,0,desktop,1,0
5,90.4,4,3,0,mobile,0,0
7,118.8,2,6,0,mobile,1,0
7,51.1,1,0,1,mobile,1,0
4,142.6,3,7,0,mobile,0,0
5,40.6,0,2,0,desktop,1,0
7,56.3,3,3,0,mobile,1,0
7,65.1,0,3,0,mobile,0,0
7,59.4,3,5,0,tablet,0,0
7,104.0,1,2,0,mobile,0,0
4,59.5,2,4,0,mobile,3,0
6,85.2,2,1,0,tablet,0,0
3,210.3,2,4,0,mobile,1,0
6,222.8,5,1,0,tablet,1,1
4,1.2,1,3,1,desktop,0,1
4,136.6,2,4,0,mobile,2,0
6,13.3,0,4,0,desktop,0,0
12,143.3,2,5,0,mobile,0,0
8,187.7,1,3,1,desktop,1,1
8,67.9,4,2,1,mobile,1,1
5,226.9,3,5,0,desktop,1,1
2,52.6,2,3,0,tablet,1,0
5,203.0,1,1,0,mobile,1,0
6,184.4,0,3,0,mobile,1,1
5,26.0,3,2,0,mobile,3,0
5,72.7,2,0,0,mobile,2,0
8,21.5,4,2,0,mobile,0,0
7,35.7,2,5,1,mobile,1,1
9,231.9,4,7,1,desktop,1,1
5,142.8,4,0,1,mobile,2,1
4,59.0,2,4,0,tablet,0,0
1,14.2,1,5,1,mobile,1,0
5,20.3,2,4,0,mobile,2,0
2,86.3,0,3,0,mobile,1,0
5,239.9,1,5,0,desktop,1,1
4,170.0,4,3,1,desktop,0,1
6,88.9,0,4,0,desktop,2,0
7,89.1,0,5,0,mobile,0,0
7,120.1,2,4,0,tablet,0,0
5,212.4,0,6,0,mobile,0,0
5,43.0,0,4,0,mobile,1,0
6,118.5,3,2,1,desktop,1,1
2,34.0,0,1,0,desktop,1,0
10,111.8,3,5,0,mobile,0,0
8,88.0,1,3,0,mobile,2,0
6,22.4,1,1,0,mobile,0,0
5,120.1,6,5,0,mobile,1,0
6,65.4,3,3,0,desktop,0,0
5,72.4,1,8,0,desktop,0,0
2,47.3,1,2,1,desktop,0,0
4,109.8,0,3,0,desktop,2,0
8,104.3,2,4,0,mobile,2,0
7,164.2,2,0,0,desktop,0,0
11,129.9,2,6,0,mobile,2,1
5,47.8,2,6,0,desktop,1,1
6,170.3,2,2,1,desktop,0,1
7,199.5,0,2,1,desktop,0,1
7,53.6,3,3,1,mobile,3,1
9,76.7,3,1,0,mobile,0,0
5,64.0,5,1,0,tablet,1,0
4,101.0,3,2,1,desktop,3,1
4,49.8,1,2,0,mobile,1,0
10,161.9,1,4,1,desktop,1,1
8,40.6,0,4,0,mobile,3,0
3,71.3,2,3,0,desktop,3,0
3,126.7,2,1,0,desktop,0,0
5,101.0,2,4,0,mobile,1,0
7,104.9,1,4,0,mobile,2,0
10,36.6,3,1,0,desktop,1,0
12,88.7,3,4,0,mobile,0,0
5,193.6,1,5,0,desktop,1,0
8,156.1,4,1,1,mobile,0,1
8,77.8,3,3,1,desktop,1,1
4,99.7,4,3,0,mobile,1,0
8,114.4,3,4,0,mobile,1,1
6,228.8,2,3,0,mobile,0,0
3,68.0,1,1,0,desktop,0,0
10,154.4,4,3,1,mobile,1,1
7,100.8,5,3,0,mobile,1,0
4,193.2,5,2,1,mobile,2,1
7,206.7,2,3,0,mobile,0,0
4,105.7,1,2,0,desktop,0,0
3,59.3,2,5,0,mobile,1,0
9,189.3,2,1,0,tablet,0,0
5,98.0,3,2,1,mobile,1,0
6,30.1,2,4,0,mobile,1,0
5,23.0,1,3,1,mobile,4,0
4,98.4,3,2,1,mobile,0,0
5,5.3,1,4,1,mobile,0,0
4,65.0,1,3,1,mobile,0,0
12,198.4,0,2,0,mobile,0,1
7,223.5,1,4,1,desktop,0,1
6,198.5,2,5,1,mobile,1,1
6,99.9,2,2,1,desktop,2,1
6,47.4,2,1,0,mobile,1,0
4,212.7,4,5,1,tablet,1,1
7,111.4,3,4,0,desktop,1,0
5,29.0,2,1,0,mobile,1,0
6,104.2,1,2,1,tablet,0,0
4,190.7,0,5,0,mobile,1,0
8,11.3,2,3,0,mobile,1,0
4,86.1,1,4,0,tablet,0,0
7,241.8,2,2,0,mobile,1,0
8,99.5,1,2,0,desktop,0,0
2,36.8,2,3,0,tablet,1,0
7,176.4,1,2,1,desktop,1,1
5,144.8,2,3,1,desktop,0,1
3,111.4,3,4,0,desktop,3,0
3,38.1,1,3,0,desktop,2,0
6,122.7,3,1,1,tablet,2,1
6,154.5,4,4,0,mobile,2,1
4,28.9,2,10,1,desktop,1,1
6,119.2,0,1,1,desktop,3,1
12,79.9,3,0,0,mobile,2,0
3,18.9,0,5,1,desktop,0,0
7,83.0,4,2,0,mobile,1,0
6,69.6,1,3,0,mobile,2,0
4,90.0,0,3,1,desktop,0,0
5,62.6,1,5,1,mobile,1,0
11,22.8,1,3,0,tablet,0,0
2,233.0,1,3,1,desktop,1,1
9,432.9,1,4,1,mobile,1,1
4,71.6,4,4,1,mobile,3,0
6,98.2,1,5,0,desktop,1,0
5,426.4,2,7,1,mobile,3,1
12,37.4,2,1,1,desktop,0,0
4,59.5,4,3,1,mobile,0,0
5,133.7,2,3,1,desktop,0,0
4,115.6,2,5,1,mobile,2,1
4,191.7,2,3,0,mobile,0,0
9,147.5,1,3,1,mobile,1,1
2,254.8,1,4,0,tablet,1,1
6,125.4,0,5,1,mobile,1,1
8,29.8,0,2,1,mobile,1,0
4,72.2,2,3,0,mobile,0,0
8,176.5,2,2,1,mobile,1,1
6,83.7,2,5,1,mobile,0,0
8,121.0,3,3,1,mobile,0,0
6,122.3,1,5,0,tablet,4,0
8,54.3,0,4,1,mobile,0,0
6,69.0,0,4,0,mobile,5,0
5,112.4,2,4,0,mobile,1,0
6,171.0,1,1,1,mobile,0,1
12,31.1,1,4,0,desktop,1,0
8,101.5,1,8,1,mobile,1,1
7,220.6,1,4,1,mobile,1,1
4,95.9,2,4,0,tablet,0,0
1,136.9,2,4,0,mobile,2,1
11,251.4,3,5,0,mobile,2,1
6,111.0,2,3,0,tablet,0,0
6,246.3,3,2,0,mobile,2,0
4,73.0,4,4,1,mobile,1,1
5,203.7,2,2,0,desktop,2,1
3,120.5,1,4,1,mobile,0,0
3,122.9,1,2,0,mobile,2,0
8,137.5,3,4,0,desktop,1,1
4,121.1,1,4,0,tablet,1,0
2,124.6,1,4,1,desktop,0,0
4,308.2,2,0,0,mobile,1,0
8,141.7,1,6,0,mobile,0,0
6,206.2,1,3,0,desktop,1,0
6,53.1,1,1,0,mobile,3,0
5,23.5,3,2,1,mobile,1,0
6,25.8,0,0,0,desktop,2,0
6,33.6,0,3,1,desktop,0,0
4,250.3,3,3,0,mobile,0,1
4,24.7,2,3,0,mobile,1,0
7,89.3,4,1,0,mobile,1,0
7,360.3,2,4,0,mobile,1,1
5,160.7,4,3,1,mobile,0,1
10,64.8,1,5,1,tablet,4,0
7,49.9,3,1,1,desktop,2,0
6,75.0,2,1,1,tablet,3,0
6,125.6,4,4,1,mobile,0,1
5,78.1,2,3,1,mobile,2,0
11,160.7,1,3,0,mobile,1,0
7,299.7,5,3,0,mobile,1,1
3,56.8,3,5,1,desktop,0,0
5,309.5,2,5,0,mobile,0,1
4,114.1,1,4,0,mobile,0,0
3,76.3,2,4,0,desktop,0,0
6,49.3,2,3,0,mobile,0,0
7,146.5,4,1,0,mobile,1,1
6,60.0,3,4,0,mobile,0,0
11,156.5,0,3,1,desktop,2,1
6,101.2,0,1,1,desktop,0,0
6,70.2,0,5,0,mobile,1,0
